s,x,y,z,yaw,curvature,left_offset,right_offset,target_velocity,target_acceleration
0.000000000,0.126808316,-0.002971172,-0.005215658,-0.073168899,0.000000000,0.400000000,0.400000000,0.100000000,0.000000000
0.199334544,0.325609511,-0.017543250,-0.000258186,-0.051588131,0.108187072,0.400000000,0.400000000,0.411664470,0.400000000
0.398945069,0.524954479,-0.027836217,-0.003293288,-0.057666960,-0.030436076,0.400000000,0.400000000,0.500000000,0.201723743
0.598782875,0.724460099,-0.039353870,0.005118086,-0.049498936,0.040889977,0.400000000,0.400000000,0.500000000,0.000000000
0.798456207,0.923888867,-0.049233452,0.008386671,-0.061835824,-0.061941820,0.400000000,0.400000000,0.500000000,0.000000000
0.997118256,1.122171227,-0.061510056,0.010910977,-0.076411936,-0.073171680,0.400000000,0.400000000,0.500000000,0.000000000
1.196861253,1.321331379,-0.076757957,0.003909222,-0.103950867,-0.137854852,0.400000000,0.400000000,0.500000000,0.000000000
1.396640802,1.520032514,-0.097487834,0.024647330,-0.133626441,-0.148597137,0.400000000,0.400000000,0.500000000,0.000000000
1.596256371,1.717868562,-0.124082441,0.028005133,-0.168865238,-0.176651899,0.400000000,0.400000000,0.500000000,0.000000000
1.795583284,1.914360272,-0.157582086,0.029308468,-0.189050047,-0.101226405,0.400000000,0.400000000,0.500000000,0.000000000
1.995054818,2.110277861,-0.195067964,0.025720534,-0.204756176,-0.078697437,0.400000000,0.400000000,0.500000000,0.000000000
2.194731406,2.305783323,-0.235667893,0.036292194,-0.224182071,-0.097229290,0.400000000,0.400000000,0.500000000,0.000000000
2.394637906,2.500687416,-0.280108902,0.035598933,-0.225729382,-0.007742341,0.400000000,0.400000000,0.500000000,0.000000000
2.594432447,2.695413393,-0.324826377,0.013694891,-0.231509133,-0.028928389,0.400000000,0.400000000,0.500000000,0.000000000
2.794227574,2.889878234,-0.370668700,0.011747407,-0.241446496,-0.049720810,0.400000000,0.400000000,0.500000000,0.000000000
2.994157299,3.084008622,-0.418473380,0.015365995,-0.250437032,-0.044991124,0.400000000,0.400000000,0.500000000,0.000000000
3.193884433,3.277505109,-0.467971232,0.030425501,-0.246161734,0.021410143,0.400000000,0.400000000,0.500000000,0.000000000
3.393528183,3.471130575,-0.516621060,0.040125266,-0.245687782,0.002373165,0.400000000,0.400000000,0.500000000,0.000000000
3.593311116,3.664914081,-0.565212967,0.044132667,-0.241669795,0.020119068,0.400000000,0.400000000,0.500000000,0.000000000
3.792948665,3.858750103,-0.612991069,0.028409954,-0.261585909,-0.099678740,0.400000000,0.400000000,0.500000000,0.000000000
3.992910572,4.051909518,-0.664703785,0.026003290,-0.290894826,-0.146938156,0.400000000,0.400000000,0.500000000,0.000000000
4.191862989,4.242503469,-0.721765243,0.032605862,-0.311283457,-0.102638393,0.400000000,0.400000000,0.500000000,0.000000000
4.390194221,4.431303151,-0.782510264,0.040421304,-0.335218734,-0.120323274,0.400000000,0.400000000,0.500000000,0.000000000
4.589702998,4.619706945,-0.848143811,0.035212658,-0.365040336,-0.149340213,0.400000000,0.400000000,0.500000000,0.000000000
4.789557467,4.806392876,-0.919489253,0.051975777,-0.379993741,-0.074837843,0.400000000,0.400000000,0.500000000,0.000000000
4.989320768,4.991906452,-0.993584389,0.050315516,-0.399611841,-0.098223295,0.400000000,0.400000000,0.500000000,0.000000000
5.189010283,5.175862847,-1.071275751,0.042835180,-0.426171610,-0.133075018,0.400000000,0.400000000,0.500000000,0.000000000
5.388478903,5.357490002,-1.153733661,0.047934567,-0.455420033,-0.146555935,0.400000000,0.400000000,0.500000000,0.000000000
5.588139533,5.536800493,-1.241552307,0.036496658,-0.470475604,-0.075439832,0.400000000,0.400000000,0.500000000,0.000000000
5.787616296,5.714604663,-1.331977172,0.037390869,-0.499262028,-0.144336632,0.400000000,0.400000000,0.500000000,0.000000000
5.987004737,5.889654979,-1.427439926,0.047361865,-0.518075962,-0.094477976,0.400000000,0.400000000,0.500000000,0.000000000
6.185881740,6.062434066,-1.525925708,0.053235479,-0.545934281,-0.139833150,0.400000000,0.400000000,0.500000000,0.000000000
6.385442708,6.232987365,-1.629541114,0.060147443,-0.576111098,-0.151302288,0.400000000,0.400000000,0.500000000,0.000000000
6.584760996,6.400133196,-1.738123115,0.067716103,-0.601105610,-0.125294122,0.400000000,0.400000000,0.500000000,0.000000000
6.784405749,6.564782387,-1.851033129,0.065573706,-0.621740207,-0.103333499,0.400000000,0.400000000,0.500000000,0.000000000
6.984132562,6.727133543,-1.967364130,0.062316976,-0.635370273,-0.068274243,0.400000000,0.400000000,0.500000000,0.000000000
7.183676709,6.887737049,-2.085788707,0.070376128,-0.644866734,-0.047566607,0.400000000,0.400000000,0.500000000,0.000000000
7.383422133,7.047369574,-2.205854072,0.076808736,-0.656210369,-0.056806722,0.400000000,0.400000000,0.500000000,0.000000000
7.583051061,7.205537577,-2.327651409,0.081079346,-0.685246508,-0.145457436,0.400000000,0.400000000,0.500000000,0.000000000
7.782647091,7.360077412,-2.453968530,0.082145487,-0.703281309,-0.090561736,0.400000000,0.400000000,0.500000000,0.000000000
7.981333102,7.511620039,-2.582463521,0.087436296,-0.731678801,-0.142499353,0.400000000,0.400000000,0.500000000,0.000000000
8.181196793,7.660329381,-2.715996390,0.090277138,-0.769175846,-0.187671539,0.400000000,0.400000000,0.500000000,0.000000000
8.380912587,7.803822013,-2.854907379,0.104158169,-0.805210405,-0.180606664,0.400000000,0.400000000,0.500000000,0.000000000
8.580214292,7.941930033,-2.998599216,0.110278826,-0.842724949,-0.188124495,0.400000000,0.400000000,0.500000000,0.000000000
8.779715984,8.074684690,-3.147519081,0.124330591,-0.896620937,-0.270281257,0.400000000,0.400000000,0.500000000,0.000000000
8.978980128,8.199075995,-3.303188610,0.132235203,-0.938825378,-0.211845802,0.400000000,0.400000000,0.500000000,0.000000000
9.178131318,8.316721811,-3.463876689,0.141387003,-0.964442528,-0.128455843,0.400000000,0.400000000,0.500000000,0.000000000
9.377816797,8.430517584,-3.627964508,0.148915022,-0.987051835,-0.113206425,0.400000000,0.400000000,0.500000000,0.000000000
9.577557849,8.540605308,-3.794629385,0.150485004,-1.020160007,-0.165640827,0.400000000,0.400000000,0.500000000,0.000000000
9.777557136,8.645250855,-3.965067127,0.164332779,-1.011190495,0.044914138,0.400000000,0.400000000,0.500000000,0.000000000
9.976963558,8.751106192,-4.134056975,0.171319466,-1.031834221,-0.103468032,0.400000000,0.400000000,0.500000000,0.000000000
10.176585868,8.853561445,-4.305381194,0.169361392,-1.061298888,-0.147802892,0.400000000,0.400000000,0.500000000,0.000000000
10.375651305,8.950653338,-4.479163277,0.181459262,-1.081004417,-0.099118967,0.400000000,0.400000000,0.500000000,0.000000000
10.574193133,9.044055807,-4.654362695,0.220525476,-1.098576408,-0.088254801,0.400000000,0.400000000,0.500000000,0.000000000
10.773856614,9.134875612,-4.832175149,0.230903706,-1.134780013,-0.181494683,0.400000000,0.400000000,0.500000000,0.000000000
10.973120827,9.219031235,-5.012796460,0.208922567,-1.139853383,-0.025424098,0.400000000,0.400000000,0.500000000,0.000000000
11.172955492,9.302507714,-5.194360693,0.220277663,-1.151677781,-0.059200714,0.400000000,0.400000000,0.500000000,0.000000000
11.372586595,9.383748679,-5.376713326,0.237775491,-1.168621691,-0.084921941,0.400000000,0.400000000,0.500000000,0.000000000
11.571997419,9.461802142,-5.560213554,0.250099294,-1.165344303,0.016427026,0.400000000,0.400000000,0.500000000,0.000000000
11.771610362,9.540536309,-5.743642718,0.250155442,-1.169667488,-0.021642543,0.400000000,0.400000000,0.500000000,0.000000000
11.971505178,9.618586804,-5.927670047,0.269253834,-1.183355746,-0.068502530,0.400000000,0.400000000,0.500000000,0.000000000
12.171249629,9.694054241,-6.112609257,0.277472867,-1.178012745,0.026758392,0.400000000,0.400000000,0.500000000,0.000000000
12.370856086,9.770455907,-6.297015122,0.285572654,-1.172339289,0.028403468,0.400000000,0.400000000,0.500000000,0.000000000
12.570739473,9.848010005,-6.481239795,0.297746147,-1.180452735,-0.040608165,0.400000000,0.400000000,0.500000000,0.000000000
12.770451784,9.924001774,-6.665929421,0.309275548,-1.178940275,0.007569767,0.400000000,0.400000000,0.500000000,0.000000000
12.970344927,10.000341853,-6.850671028,0.325326123,-1.169759063,0.045968951,0.400000000,0.400000000,0.500000000,0.000000000
13.169903135,10.078244092,-7.034395603,0.336762563,-1.173806385,-0.020266904,0.400000000,0.400000000,0.500000000,0.000000000
13.369746763,10.155512459,-7.218697191,0.341787202,-1.175762213,-0.009786899,0.400000000,0.400000000,0.500000000,0.000000000
13.569585808,10.232418452,-7.403145319,0.358096255,-1.176360785,-0.002996277,0.400000000,0.400000000,0.500000000,0.000000000
13.769290815,10.309162517,-7.587515702,0.374739184,-1.173519922,0.014220569,0.400000000,0.400000000,0.500000000,0.000000000
13.969128523,10.386481386,-7.771789689,0.381740455,-1.178929754,-0.027080789,0.400000000,0.400000000,0.500000000,0.000000000
14.168823184,10.462747605,-7.956347055,0.398117142,-1.180233191,-0.006526108,0.400000000,0.400000000,0.500000000,0.000000000
14.368581484,10.538797428,-8.141062520,0.411706400,-1.186612384,-0.031926355,0.400000000,0.400000000,0.500000000,0.000000000
14.568441768,10.613705600,-8.326353908,0.419671935,-1.179612677,0.035021506,0.400000000,0.400000000,0.500000000,0.000000000
14.768318321,10.689915116,-8.511131468,0.429282186,-1.190106057,-0.052488155,0.400000000,0.400000000,0.500000000,0.000000000
14.968277960,10.764212401,-8.696775672,0.437302750,-1.190658860,-0.002765394,0.400000000,0.400000000,0.500000000,0.000000000
15.168118860,10.838362992,-8.882350657,0.447546420,-1.205130907,-0.072412713,0.400000000,0.400000000,0.500000000,0.000000000
15.367984586,10.909829140,-9.069002467,0.460359363,-1.218114267,-0.064965622,0.400000000,0.400000000,0.500000000,0.000000000
15.567815458,10.978853925,-9.256533682,0.480714200,-1.233870938,-0.078873495,0.400000000,0.400000000,0.500000000,0.000000000
15.767523305,11.044874727,-9.445013065,0.492784853,-1.241271164,-0.037034226,0.400000000,0.400000000,0.500000000,0.000000000
15.967457065,11.109572047,-9.634189610,0.498977321,-1.251439879,-0.050860242,0.400000000,0.400000000,0.500000000,0.000000000
16.167390519,11.172342277,-9.824013961,0.510847879,-1.250270068,0.005853007,0.400000000,0.400000000,0.500000000,0.000000000
16.367187111,11.235291402,-10.013634861,0.527538766,-1.249490326,0.003901023,0.400000000,0.400000000,0.500000000,0.000000000
16.567153059,11.298441847,-10.203367309,0.538638044,-1.245682781,0.019042105,0.400000000,0.400000000,0.500000000,0.000000000
16.767094870,11.362306538,-10.392835061,0.552068094,-1.249852075,-0.020850461,0.400000000,0.400000000,0.500000000,0.000000000
16.967076182,11.425393190,-10.582604919,0.554222771,-1.247620128,0.011161237,0.400000000,0.400000000,0.500000000,0.000000000
17.167040874,11.488897963,-10.772217740,0.567422518,-1.243288585,0.021680224,0.400000000,0.400000000,0.500000000,0.000000000
17.366660580,11.553112477,-10.961227061,0.579911463,-1.242693116,0.002980924,0.400000000,0.400000000,0.500000000,0.000000000
17.566560479,11.617529820,-11.150463357,0.592608053,-1.242081409,0.003059742,0.400000000,0.400000000,0.500000000,0.000000000
17.766502815,11.682076609,-11.339700377,0.610553115,-1.239987906,0.010471155,0.400000000,0.400000000,0.500000000,0.000000000
17.966421420,11.747011715,-11.528779409,0.623434459,-1.247731100,-0.038742331,0.400000000,0.400000000,0.500000000,0.000000000
18.166229650,11.810445773,-11.718250909,0.636158322,-1.241897937,0.029183882,0.400000000,0.400000000,0.500000000,0.000000000
18.366173216,11.875027677,-11.907477247,0.647622664,-1.239360251,0.012699803,0.400000000,0.400000000,0.500000000,0.000000000
18.565871312,11.940009694,-12.096306978,0.649952229,-1.239187501,0.000864687,0.400000000,0.400000000,0.500000000,0.000000000
18.765739197,12.005079607,-12.285286018,0.660260853,-1.242497096,-0.016560678,0.400000000,0.400000000,0.500000000,0.000000000
18.965564282,12.069509921,-12.474438865,0.687143246,-1.234414942,0.040434205,0.400000000,0.400000000,0.500000000,0.000000000
19.165506283,12.135505467,-12.663175167,0.692636942,-1.238459467,-0.020233147,0.400000000,0.400000000,0.500000000,0.000000000
19.365355973,12.200707010,-12.852089585,0.700902649,-1.234654410,0.019039153,0.400000000,0.400000000,0.500000000,0.000000000
19.565214725,12.266629898,-13.040763096,0.714279814,-1.233018168,0.008184068,0.400000000,0.400000000,0.500000000,0.000000000
19.765216029,12.332908654,-13.229462985,0.735110033,-1.231864564,0.005769714,0.400000000,0.400000000,0.500000000,0.000000000
19.965097548,12.399365225,-13.417973318,0.741127084,-1.235351809,-0.017446514,0.400000000,0.400000000,0.500000000,0.000000000
20.164980033,12.465164329,-13.606715168,0.749973434,-1.233038494,0.011572352,0.400000000,0.400000000,0.500000000,0.000000000
20.364897937,12.531411613,-13.795337715,0.757445990,-1.233770411,-0.003661259,0.400000000,0.400000000,0.500000000,0.000000000
20.564797336,12.597514704,-13.983991237,0.767578676,-1.236359749,-0.012952002,0.400000000,0.400000000,0.500000000,0.000000000
20.764733803,12.663141254,-14.172850303,0.789108170,-1.237418127,-0.005294644,0.400000000,0.400000000,0.500000000,0.000000000
20.964589313,12.728541390,-14.361702221,0.793905606,-1.227680079,0.048720547,0.400000000,0.400000000,0.500000000,0.000000000
21.164483419,12.795790430,-14.549944672,0.800946969,-1.227059478,0.003105848,0.400000000,0.400000000,0.500000000,0.000000000
21.364222716,12.863104108,-14.737999599,0.814051809,-1.222153527,0.024555588,0.400000000,0.400000000,0.500000000,0.000000000
21.564062202,12.931373788,-14.925816188,0.818673162,-1.217787021,0.021846048,0.400000000,0.400000000,0.500000000,0.000000000
21.763974925,13.000488236,-15.113401608,0.827549878,-1.208169128,0.048120817,0.400000000,0.400000000,0.500000000,0.000000000
21.963800033,13.071372557,-15.300231709,0.842685019,-1.218887944,-0.053633719,0.400000000,0.400000000,0.500000000,0.000000000
22.163677384,13.140268254,-15.487859901,0.859491177,-1.224192331,-0.026536515,0.400000000,0.400000000,0.500000000,0.000000000
22.363579786,13.208176244,-15.675874462,0.873926423,-1.222183855,0.010047211,0.400000000,0.400000000,0.500000000,0.000000000
22.563485031,13.276462690,-15.863754925,0.877880987,-1.222690572,-0.002535880,0.400000000,0.400000000,0.500000000,0.000000000
22.763217588,13.344595019,-16.051507634,0.887270896,-1.232402419,-0.048615147,0.400000000,0.400000000,0.500000000,0.000000000
22.963023438,13.410925069,-16.239982307,0.896955349,-1.229309063,0.015481257,0.400000000,0.400000000,0.500000000,0.000000000
23.162843323,13.477842520,-16.428264121,0.903943048,-1.232989695,-0.018414046,0.400000000,0.400000000,0.500000000,0.000000000
23.362786633,13.544107428,-16.616907406,0.916750862,-1.246271092,-0.066421509,0.400000000,0.400000000,0.500000000,0.000000000
23.562752943,13.607868454,-16.806435917,0.930375728,-1.248861993,-0.012959595,0.400000000,0.400000000,0.500000000,0.000000000
23.762629440,13.671109799,-16.996043793,0.946965602,-1.239944147,0.044619655,0.400000000,0.400000000,0.500000000,0.000000000
23.962478902,13.736030719,-17.185054591,0.951009656,-1.241206565,-0.006315759,0.400000000,0.400000000,0.500000000,0.000000000
24.162397254,13.800735272,-17.374212377,0.951632266,-1.235741588,0.027338444,0.400000000,0.400000000,0.500000000,0.000000000
24.362280079,13.866460916,-17.562980180,0.963770131,-1.233837194,0.009525290,0.400000000,0.400000000,0.500000000,0.000000000
24.562257641,13.932577250,-17.751711883,0.961368717,-1.232697895,0.005697373,0.400000000,0.400000000,0.500000000,0.000000000
24.762218508,13.998903026,-17.940352388,0.972874215,-1.238919241,-0.031112880,0.400000000,0.400000000,0.500000000,0.000000000
24.962177941,14.064053460,-18.129400518,0.985286707,-1.237891859,0.005138293,0.400000000,0.400000000,0.500000000,0.000000000
25.162111002,14.129389466,-18.318356691,0.988000288,-1.248463055,-0.052871695,0.400000000,0.400000000,0.500000000,0.000000000
25.362057203,14.192728529,-18.508005436,0.986626042,-1.247908237,0.002774818,0.400000000,0.400000000,0.500000000,0.000000000
25.562006003,14.256173627,-18.697621474,0.995705234,-1.249344822,-0.007184562,0.400000000,0.400000000,0.500000000,0.000000000
25.761966001,14.319349799,-18.887339086,1.004430800,-1.252163169,-0.014098476,0.400000000,0.400000000,0.500000000,0.000000000
25.961814651,14.381956148,-19.077128253,1.009888514,-1.255585324,-0.017120135,0.400000000,0.400000000,0.500000000,0.000000000
26.161747103,14.443938624,-19.267210230,1.009004681,-1.247354856,0.041161056,0.400000000,0.400000000,0.500000000,0.000000000
26.361728842,14.507499111,-19.456822361,1.011418023,-1.245067925,0.011437060,0.400000000,0.400000000,0.500000000,0.000000000
26.561662736,14.571477752,-19.646243310,1.026228184,-1.244869238,0.000993660,0.400000000,0.400000000,0.500000000,0.000000000
26.761639676,14.635507809,-19.835692321,1.027595799,-1.241882188,0.014936404,0.400000000,0.400000000,0.500000000,0.000000000
26.961631639,14.700108326,-20.024963446,1.024757880,-1.250785395,-0.044520414,0.400000000,0.400000000,0.500000000,0.000000000
27.161599013,14.763013451,-20.214778872,1.026319471,-1.261333306,-0.052779236,0.400000000,0.400000000,0.500000000,0.000000000
27.361329058,14.823840678,-20.405021189,1.040022476,-1.263898674,-0.012840572,0.400000000,0.400000000,0.500000000,0.000000000
27.561171161,14.884213518,-20.595525747,1.044322254,-1.271123090,-0.036151686,0.400000000,0.400000000,0.500000000,0.000000000
27.761000619,14.943204777,-20.786449406,1.038613978,-1.274399750,-0.016397073,0.400000000,0.400000000,0.500000000,0.000000000
27.960834959,15.001571554,-20.977570004,1.042336482,-1.264287351,0.050590486,0.400000000,0.400000000,0.500000000,0.000000000
28.160773657,15.061899490,-21.168190105,1.048508649,-1.262035527,0.011263106,0.400000000,0.400000000,0.500000000,0.000000000
28.360693322,15.122650733,-21.358655743,1.052836588,-1.267922857,-0.029444088,0.400000000,0.400000000,0.500000000,0.000000000
28.560672023,15.182297202,-21.549532088,1.061251765,-1.265067605,0.014279634,0.400000000,0.400000000,0.500000000,0.000000000
28.760598623,15.242472747,-21.740187666,1.068313352,-1.269754723,-0.023442478,0.400000000,0.400000000,0.500000000,0.000000000
28.960554131,15.301762580,-21.931150806,1.075011146,-1.272263469,-0.012545792,0.400000000,0.400000000,0.500000000,0.000000000
29.160532672,15.360579923,-22.122284102,1.074398152,-1.285864369,-0.068015345,0.400000000,0.400000000,0.500000000,0.000000000
29.360487286,15.416785596,-22.314176702,1.077381466,-1.284124860,0.008704060,0.400000000,0.400000000,0.500000000,0.000000000
29.560233287,15.473265995,-22.505771142,1.082312058,-1.286800214,-0.013392161,0.400000000,0.400000000,0.500000000,0.000000000
29.760027394,15.529247089,-22.697562181,1.089927744,-1.285090079,0.008559499,0.400000000,0.400000000,0.500000000,0.000000000
29.959820841,15.585555903,-22.889256570,1.092329071,-1.288856067,-0.018844692,0.400000000,0.400000000,0.500000000,0.000000000
30.159714082,15.641170165,-23.081257511,1.092922666,-1.276887853,0.059865132,0.400000000,0.400000000,0.500000000,0.000000000
30.359657668,15.699092883,-23.272627301,1.097044196,-1.270866612,0.030114595,0.400000000,0.400000000,0.500000000,0.000000000
30.559602056,15.758167064,-23.463645623,1.100595212,-1.269947829,0.004595369,0.400000000,0.400000000,0.500000000,0.000000000
30.759531149,15.817412192,-23.654594980,1.098713193,-1.269623998,0.001620238,0.400000000,0.400000000,0.500000000,0.000000000
30.959334485,15.876681848,-23.845405045,1.100443700,-1.273196823,-0.017876871,0.400000000,0.400000000,0.500000000,0.000000000
31.159245714,15.935301034,-24.036528803,1.107886824,-1.272032197,0.005825738,0.400000000,0.400000000,0.500000000,0.000000000
31.359155431,15.994142322,-24.227582717,1.117907080,-1.286489325,-0.072330074,0.400000000,0.400000000,0.500000000,0.000000000
31.558996499,16.050196211,-24.419401417,1.124673930,-1.298429724,-0.059756160,0.400000000,0.400000000,0.500000000,0.000000000
31.758790495,16.103943103,-24.611830397,1.127057006,-1.309337909,-0.054588356,0.400000000,0.400000000,0.500000000,0.000000000
31.958646948,16.155603934,-24.804894532,1.138840749,-1.303949173,0.026971864,0.400000000,0.400000000,0.500000000,0.000000000
32.158372010,16.208269734,-24.997550739,1.141140497,-1.296005174,0.039779786,0.400000000,0.400000000,0.500000000,0.000000000
32.358044687,16.262450102,-25.189732074,1.145791136,-1.285271563,0.053778789,0.400000000,0.400000000,0.500000000,0.000000000
32.557546446,16.318641969,-25.381156801,1.145128663,-1.270913085,0.071929122,0.400000000,0.400000000,0.500000000,0.000000000
32.757280891,16.377645254,-25.571977294,1.150212383,-1.271035338,-0.000611845,0.400000000,0.400000000,0.500000000,0.000000000
32.957165594,16.436669580,-25.762948558,1.163428334,-1.271335488,-0.001502313,0.400000000,0.400000000,0.500000000,0.000000000
33.156865405,16.495582040,-25.953760866,1.161074126,-1.294148811,-0.114190175,0.400000000,0.400000000,0.500000000,0.000000000
33.356724098,16.550169880,-26.146020235,1.177205327,-1.292831732,0.006597487,0.400000000,0.400000000,0.500000000,0.000000000
33.556132086,16.604887220,-26.337774135,1.165235738,-1.298660446,-0.029214929,0.400000000,0.400000000,0.500000000,0.000000000
33.755746518,16.658541449,-26.530042554,1.169098430,-1.297415410,0.006235907,0.400000000,0.400000000,0.500000000,0.000000000
33.955444213,16.712457497,-26.722324194,1.168214013,-1.298953731,-0.007699945,0.400000000,0.400000000,0.500000000,0.000000000
34.155313229,16.766123692,-26.914853577,1.174671815,-1.283213499,0.078735144,0.400000000,0.400000000,0.500000000,0.000000000
34.355267435,16.822837734,-27.106596118,1.174626689,-1.296387790,-0.065896685,0.400000000,0.400000000,0.500000000,0.000000000
34.555157195,16.877003391,-27.299007130,1.177123493,-1.304967990,-0.042922417,0.400000000,0.400000000,0.500000000,0.000000000
34.755066637,16.929521320,-27.491894797,1.181773354,-1.298800012,0.030867555,0.400000000,0.400000000,0.500000000,0.000000000
34.954798098,16.983180155,-27.684283430,1.186685751,-1.300136919,-0.006692840,0.400000000,0.400000000,0.500000000,0.000000000
35.154570348,17.036592642,-27.876782932,1.193465724,-1.314900605,-0.073871381,0.400000000,0.400000000,0.500000000,0.000000000
35.354507738,17.087199207,-28.070209753,1.192324934,-1.311715651,0.015931540,0.400000000,0.400000000,0.500000000,0.000000000
35.554400129,17.138410042,-28.263430918,1.190295877,-1.310809541,0.004533101,0.400000000,0.400000000,0.500000000,0.000000000
35.754282698,17.189793411,-28.456596108,1.195405001,-1.317402692,-0.032977614,0.400000000,0.400000000,0.500000000,0.000000000
35.954255578,17.239924744,-28.650183303,1.194840614,-1.323485256,-0.030432329,0.400000000,0.400000000,0.500000000,0.000000000
36.154025654,17.288828006,-28.843875210,1.210628033,-1.325020626,-0.007681317,0.400000000,0.400000000,0.500000000,0.000000000
36.354022799,17.337489069,-29.037862216,1.211462462,-1.333610396,-0.042984985,0.400000000,0.400000000,0.500000000,0.000000000
36.553688152,17.384404093,-29.231937546,1.211190265,-1.337700230,-0.020474808,0.400000000,0.400000000,0.500000000,0.000000000
36.753521740,17.430563851,-29.426366813,1.215023100,-1.347428205,-0.048664244,0.400000000,0.400000000,0.500000000,0.000000000
36.953486251,17.474859054,-29.621363583,1.212969543,-1.379168804,-0.158750349,0.400000000,0.400000000,0.500000000,0.000000000
37.153385634,17.512931267,-29.817603921,1.221571509,-1.405162289,-0.130277060,0.400000000,0.400000000,0.500000000,0.000000000
37.352524328,17.545764801,-30.014017205,1.229853645,-1.432847115,-0.138958816,0.400000000,0.400000000,0.500000000,0.000000000
37.551833787,17.573172263,-30.211433242,1.231855265,-1.462100535,-0.146581503,0.400000000,0.400000000,0.500000000,0.000000000
37.751652134,17.594848934,-30.410072347,1.235116059,-1.495916993,-0.169197605,0.400000000,0.400000000,0.500000000,0.000000000
37.951542126,17.609802580,-30.609402217,1.236631914,-1.508882578,-0.064936759,0.400000000,0.400000000,0.500000000,0.000000000
38.150978947,17.622142574,-30.808456908,1.238850406,-1.519880207,-0.055094698,0.400000000,0.400000000,0.500000000,0.000000000
38.350766495,17.632310586,-31.007985543,1.241690547,-1.536078308,-0.081056528,0.400000000,0.400000000,0.500000000,0.000000000
38.550648761,17.639248708,-31.207747357,1.241771041,-1.558531679,-0.112331191,0.400000000,0.400000000,0.500000000,0.000000000
38.750529012,17.641700108,-31.407612576,1.237090802,-1.571494540,-0.064900432,0.400000000,0.400000000,0.500000000,0.000000000
38.950115140,17.641560754,-31.607198655,1.243415872,-1.589456350,-0.089928904,0.400000000,0.400000000,0.500000000,0.000000000
39.149990522,17.637831291,-31.807039240,1.255970159,-1.610782991,-0.106740480,0.400000000,0.400000000,0.500000000,0.000000000
39.349705570,17.629847481,-32.006594644,1.259184932,-1.640217761,-0.147322653,0.400000000,0.400000000,0.500000000,0.000000000
39.549572080,17.615983603,-32.205979735,1.258676637,-1.665308333,-0.125615191,0.400000000,0.400000000,0.500000000,0.000000000
39.749178182,17.597146503,-32.404695008,1.260495393,-1.687468131,-0.111055178,0.400000000,0.400000000,0.500000000,0.000000000
39.948641161,17.573927558,-32.602801950,1.261116726,-1.718215235,-0.153952138,0.400000000,0.400000000,0.500000000,0.000000000
40.148599628,17.544556553,-32.800591567,1.266711902,-1.748536643,-0.151736432,0.400000000,0.400000000,0.500000000,0.000000000
40.348284757,17.509251036,-32.997130803,1.266300736,-1.781877393,-0.166948779,0.400000000,0.400000000,0.500000000,0.000000000
40.547994049,17.467408525,-33.192407544,1.268414475,-1.823517776,-0.208672741,0.400000000,0.400000000,0.500000000,0.000000000
40.747353415,17.417560732,-33.385434367,1.264386611,-1.887098075,-0.319328458,0.400000000,0.400000000,0.500000000,0.000000000
40.946139525,17.355727536,-33.574359149,1.270030256,-1.920615496,-0.168501595,0.400000000,0.400000000,0.500000000,0.000000000
41.145163916,17.287516318,-33.761329569,1.269238048,-1.960676559,-0.201027523,0.400000000,0.400000000,0.500000000,0.000000000
41.344675837,17.211686298,-33.945869036,1.274492061,-1.984782840,-0.120785618,0.400000000,0.400000000,0.500000000,0.000000000
41.544312385,17.131380048,-34.128641182,1.277890215,-1.990162093,-0.026925627,0.400000000,0.400000000,0.500000000,0.000000000
41.744239142,17.049973619,-34.311243760,1.269573807,-1.969828344,0.101689803,0.400000000,0.400000000,0.500000000,0.000000000
41.944222660,16.972274705,-34.495516075,1.268350191,-1.973653137,-0.019133382,0.400000000,0.400000000,0.500000000,0.000000000
42.144042018,16.893935916,-34.679338844,1.267206287,-1.956836927,0.084141370,0.400000000,0.400000000,0.500000000,0.000000000
42.343931181,16.818672977,-34.864517588,1.273938082,-1.948979297,0.039339761,0.400000000,0.400000000,0.500000000,0.000000000
42.543516224,16.744979703,-35.049999368,1.280811420,-1.950834902,-0.009290075,0.400000000,0.400000000,0.500000000,0.000000000
42.743412176,16.670827042,-35.235632810,1.265574664,-1.966962696,-0.080697023,0.400000000,0.400000000,0.500000000,0.000000000
42.943224137,16.593722707,-35.419968756,1.259233418,-1.964872122,0.010461513,0.400000000,0.400000000,0.500000000,0.000000000
43.143081551,16.516986456,-35.604507462,1.256726557,-1.994841279,-0.149984873,0.400000000,0.400000000,0.500000000,0.000000000
43.342838237,16.434796466,-35.786572119,1.262427247,-2.015259265,-0.102219175,0.400000000,0.400000000,0.500000000,0.000000000
43.542568863,16.348917678,-35.966897259,1.266211694,-2.032942183,-0.088689365,0.400000000,0.400000000,0.500000000,0.000000000
43.741593768,16.260178467,-36.145044012,1.261264694,-2.052800289,-0.099582014,0.400000000,0.400000000,0.500000000,0.000000000
43.941391485,16.167561086,-36.322078326,1.259147492,-2.079636387,-0.134392907,0.400000000,0.400000000,0.500000000,0.000000000
44.140949562,16.070343458,-36.496354425,1.254467034,-2.093510507,-0.069462252,0.400000000,0.400000000,0.500000000,0.000000000
