s,x,y,z,yaw,curvature,left_offset,right_offset,target_velocity,target_acceleration
0.000000000,929.686400000,-1674.905600000,712.884538676,2.498717668,0.000000000,1.500000000,1.500000000,0.000000000,0.800000000
0.498465561,929.287440369,-1674.606770403,712.891312700,2.514319235,0.031309836,1.500000000,1.500000000,0.893053692,0.800000000
0.996581975,928.884149951,-1674.314406245,712.891849153,2.542394048,0.056386943,1.500000000,1.500000000,1.262747465,0.800000000
1.494224118,928.473203115,-1674.033745595,712.892466638,2.578281594,0.072136358,1.500000000,1.500000000,1.546207809,0.140450078
1.991520471,928.052743186,-1673.768195015,712.890060632,2.617565800,0.078997040,1.500000000,1.500000000,1.590738574,0.000000000
2.488734298,927.622249843,-1673.519403794,712.884582286,2.656874311,0.079037350,1.500000000,1.500000000,1.590738574,0.000000000
2.986138331,927.182143659,-1673.287633825,712.876111735,2.693839115,0.074281910,1.500000000,1.500000000,1.590738574,0.000000000
3.483934873,926.733418922,-1673.072116984,712.864718838,2.726915900,0.066410980,1.500000000,1.500000000,1.590738574,0.000000000
3.982216901,926.277367990,-1672.871362095,712.850306887,2.755321454,0.056978035,1.500000000,1.500000000,1.590738574,0.000000000
4.480971713,925.815361296,-1672.683462714,712.832340725,2.778940827,0.047336932,1.500000000,1.500000000,1.590738574,0.000000000
4.980119496,925.348678402,-1672.506387628,712.811583489,2.798113515,0.038398996,1.500000000,1.500000000,1.590738574,0.162177848
5.479560028,924.878410833,-1672.338193516,712.788115930,2.813380011,0.030560668,1.500000000,1.500000000,1.640867330,0.319331856
5.979204188,924.405437672,-1672.177132424,712.761810598,2.825295418,0.023844384,1.500000000,1.500000000,1.735381857,0.498793037
6.478985022,923.930449129,-1672.021675787,712.732030698,2.834346814,0.018109040,1.500000000,1.500000000,1.873532649,0.715091191
6.978855739,923.453987289,-1671.870497585,712.699343082,2.840945303,0.013199609,1.500000000,1.500000000,2.055487991,0.800000000
7.478783862,922.976483451,-1671.722449579,712.664184378,2.845439772,0.008989912,1.500000000,1.500000000,2.241632413,0.800000000
7.978746568,922.498285962,-1671.576539095,712.625024386,2.848119171,0.005359097,1.500000000,1.500000000,2.413473888,0.800000000
8.478727901,922.019681407,-1671.431905027,712.582100450,2.849208562,0.002178847,1.500000000,1.500000000,2.573873800,0.800000000
8.978716882,921.540912250,-1671.287790227,712.537757552,2.848881931,-0.000653276,1.500000000,1.500000000,2.724850218,0.800000000
9.478706079,921.062189985,-1671.143518992,712.492053923,2.847295058,-0.003173830,1.500000000,1.500000000,2.867889716,0.800000000
9.978690667,920.583701672,-1670.998489604,712.444120380,2.844610260,-0.005369800,1.500000000,1.500000000,3.004124958,0.800000000
10.478667739,920.105611645,-1670.852178296,712.394538102,2.840984512,-0.007251893,1.500000000,1.500000000,3.134442547,0.800000000
10.978635369,919.628064267,-1670.704137315,712.342578190,2.836532259,-0.008905176,1.500000000,1.500000000,3.259551854,0.800000000
